Primer	Cluster/Instance	Expected	Generated Today	Generated Yesterday	Spider Queries	Executed	Successful
agodadaily	p4/paint008	240,000	987,987	1,010,919	0	962,115	961,801
arnshiddaily	p4/paint006	100,000	111,636	117,432	0	117,432	55,193
arnsmart	p4/paint006	288,000	287,812	281,960	0	281,960	203,534
astondaily	p4/paint008	630	637	637	0	637	637
bdccds	p4/paint006	266,000	n/a	n/a	0	421,000	319,411
bdcdaily	p5/paint005	500,000	524,832	524,832	0	475,066	474,060
bdcgb	p5/paint005	63,000	n/a	n/a	0	0	0
choicedaily	p4/paint006	7,000	7,168	7,168	0	14,336	7,408
ctripdaily	p4/paint007	10,000	n/a	n/a	0	9,135	9,131
eandaily	p5/paint007	240,000	246,092	235,382	0	235,382	235,335
eansmart	p5/paint007	544,929	563,584	563,584	0	563,584	562,973
expediadaily	p4/paint005	232,918	333,221	330,372	0	330,372	330,371
expediasmart	p4/paint005	760,000	720,531	720,531	0	711,003	710,998
grdaily	p5/paint006	145,000	135,982	136,122	0	136,122	136,116
grdeals	p5/paint007	277,830	277,830	277,830	0	277,830	277,812
grsmart	p5/paint008	431,186	473,662	473,662	0	473,662	473,634
hdcdaily	p4/paint005	280,000	272,321	303,807	0	314,057	314,051
hdcsmart	p4/paint005	710,000	720,650	720,650	0	711,133	711,127
hotelclubdaily	p5/paint008	190,000	214,473	212,751	0	214,026	213,971
hotelclubsmart	p5/paint008	525,000	483,644	483,644	0	426,440	426,323
hyattdaily	p4/paint007	7,000	0	0	0	0	0
ihgdaily	p4/paint008	90,000	96,824	96,824	0	96,824	93,363
ihgdiff	p4/paint006	140,000	n/a	n/a	0	181,276	175,358
jetsetterdaily	p4/paint007	16,000	17,836	17,836	0	17,835	17,833
marriottscheduled	p5/paint006	93,100	645,645	645,645	0	645,645	644,813
mgmdaily	p4/paint007	630	1,274	1,274	0	30,576	30,575
motel6daily	p4/paint007	990	2,139	2,139	0	2,139	2,136
omhscheduled	p5/paint006	0	0	0	0	0	0
orbitzdaily	p5/paint005	0	215,880	231,399	0	231,399	230,835
popcity	p4/paint006	22,600	n/a	n/a	0	22,932	22,932
pclncds	p4/paint006	431,000	n/a	n/a	0	1,261,201	1,261,103
pricelinedaily	p4/paint005	600,000	842,142	524,902	0	799,999	799,909
pricelinedeals	p4/paint005	35,000	n/a	n/a	0	35,476	35,114
pricelinesmart	p4/paint005	0	212,646	212,646	0	212,646	212,620
starwooddaily	p4/paint008	14,490	0	0	0	0	0
studio6daily	p4/paint008	186	186	186	0	186	186
tcwdaily	p5/paint006	185,000	753,858	753,858	0	753,855	753,691
tcwsmart	p5/paint006	519,092	2,088,667	2,088,667	0	1,257,699	1,257,432
tophotels	p4/paint005	11,500	n/a	n/a	0	9,072	8,927
touricodaily	p5/paint006	63,000	63,700	63,700	0	63,000	62,998
travelocitydaily	p5/paint007	125,000	240,128	352,366	0	352,365	352,363
travelocitysmart	p5/paint007	325,000	336,364	336,364	0	336,363	336,360
vegasdaily	p4/paint008	637	637	637	0	637	637
